date,sales_price,individual_income,affordability,downpayment_20,downpayment_10
observation_date,MSPNE,MEPAINUSNEA646N,,0,0
1974-01-01,38600,5817,6.635722881210246,7720,3860
1975-01-01,44000,6054,7.26792203501817,8800,4400
1976-01-01,45700,6259,7.30148586036108,9140,4570
1977-01-01,50900,6704,7.592482100238663,10180,5090
1978-01-01,56800,7022,8.088863571632015,11360,5680
1979-01-01,65500,7315,8.954203691045796,13100,6550
1980-01-01,65400,8086,8.088053425674005,13080,6540
1981-01-01,71300,8741,8.156961446058803,14260,7130
1982-01-01,69900,9256,7.551858254105445,13980,6990
1983-01-01,77800,9971,7.802627620098285,15560,7780
1984-01-01,82700,10700,7.728971962616822,16540,8270
1985-01-01,89800,11570,7.761452031114953,17960,8980
1986-01-01,121500,12430,9.774738535800482,24300,12150
1987-01-01,139000,13240,10.498489425981873,27800,13900
1988-01-01,149000,14630,10.184552289815448,29800,14900
1989-01-01,168500,15720,10.71882951653944,33700,16850
1990-01-01,150000,15720,9.541984732824428,30000,15000
1991-01-01,153900,15860,9.703656998738966,30780,15390
1992-01-01,166900,15990,10.437773608505315,33380,16690
1993-01-01,150000,16300,9.202453987730062,30000,15000
1994-01-01,159900,16950,9.43362831858407,31980,15990
1995-01-01,179900,17710,10.15810276679842,35980,17990
1996-01-01,179000,18630,9.608158883521202,35800,17900
1997-01-01,204400,19710,10.37037037037037,40880,20440
1998-01-01,196000,20420,9.59843290891283,39200,19600
1999-01-01,195500,21000,9.30952380952381,39100,19550
2000-01-01,229300,22250,10.30561797752809,45860,22930
2001-01-01,242800,22830,10.635129215943934,48560,24280
2002-01-01,254200,23120,10.994809688581315,50840,25420
2003-01-01,208100,23900,8.707112970711297,41620,20810
2004-01-01,292000,24510,11.913504691962464,58400,29200
2005-01-01,366800,25450,14.412573673870334,73360,36680
2006-01-01,334600,26700,12.53183520599251,66920,33460
2007-01-01,370300,27380,13.524470416362309,74060,37030
2008-01-01,325900,27620,11.799420709630702,65180,32590
2009-01-01,314800,27590,11.40993113446901,62960,31480
2010-01-01,337400,27440,12.295918367346939,67480,33740
2011-01-01,336200,27690,12.141567352834958,67240,33620
2012-01-01,305400,28830,10.593132154006243,61080,30540
2013-01-01,370300,30180,12.269715043074884,74060,37030
2014-01-01,339800,30400,11.177631578947368,67960,33980
2015-01-01,456800,31670,14.423744868961162,91360,45680
2016-01-01,417100,33120,12.593599033816425,83420,41710
2017-01-01,566500,34600,16.372832369942195,113300,56650
2018-01-01,437500,36040,12.139289678135405,87500,43750
2019-01-01,480300,38950,12.331193838254173,96060,48030
2020-01-01,512100,39340,13.017285205897306,102420,51210
2021-01-01,541500,40640,13.324311023622048,108300,54150
2022-01-01,587700,41890,14.029601336834567,117540,58770
2023-01-01,727800,45530,15.985064792444541,145560,72780
2024-01-01,835200,49080,17.017114914425427,167040,83520
